date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1955-07-25,GE-00,Pulau Pinang,P.001 Wellesley North,1,F0G2M,Hashim Awang,Hashim bin Awang,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,0,,1,won_uncontested
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,1,JE64X,Tay Hooi Soo,Tay Hooi Soo,M,Chinese,58,PERIKATAN,003-MCA,MCA,001-PERIKATAN,PERIKATAN,15697,81.67013527575442,1,won
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,2,NVW76,Haji Zabidi Bin Haji Ali,Zabidi bin Ali,M,Malay,41,PAS,004-PAS,PAS,000-ALONE,ALONE,3523,18.329864724245578,2,lost
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,1,S9J9F,Chee Swee Ee,Chee Swee Ee,M,Chinese,53,PERIKATAN,003-MCA,MCA,001-PERIKATAN,PERIKATAN,7253,70.19938056523422,1,won
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,2,WQ8BR,Ooi Thiam Siew,Ooi Thiam Siew,M,Chinese,40,LPM,005-LPM,LPM,000-ALONE,ALONE,2650,25.648470770421987,2,lost
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,3,04YE1,Cheah Phee Aik,Cheah Phee Aik,M,Chinese,40,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,429,4.152148664343787,3,lost_deposit
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,1,3JMGA,Zainul Abidin Bin Sultan Mydin,Zainul Abidin bin Sultan Mydin,M,Malay,57,PERIKATAN,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,14865,83.55817875210792,1,won
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,2,70AJK,Md. Isa Bin Sulaiman,Md. Isa bin Sulaiman,M,Malay,37,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,2925,16.441821247892076,2,lost
1955-07-25,GE-00,Melaka,P.005 Malacca Central,1,AE0MW,Tan Siew Sin,Tan Siew Sin,M,Chinese,39,PERIKATAN,003-MCA,MCA,001-PERIKATAN,PERIKATAN,17104,84.26445955266529,1,won
1955-07-25,GE-00,Melaka,P.005 Malacca Central,2,DVPQ5,Abdul Karim Bin Bakar,Abdul Karim bin Bakar,M,Malay,33,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,3194,15.735540447334712,2,lost
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,1,H9CSE,Abdul Ghafar Bin Baba,Abdul Ghafar bin Baba,M,Malay,30,PERIKATAN,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,26790,90.47313498362095,1,won
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,2,MQ2VQ,Jaafar Bin Mohd. Tan,Jaafar bin Mohd. Tan,M,Malay,29,NEG,008-NEG,NEG,000-ALONE,ALONE,2821,9.526865016379048,2,lost_deposit
1955-07-25,GE-00,Perak,P.007 Krian,1,R4RY0,Haji Ahmad Bin Haji Hussain,Ahmad bin Tuan Hussein,M,Malay,49,PAS,004-PAS,PAS,000-ALONE,ALONE,8685,42.92068198665678,1,won
1955-07-25,GE-00,Perak,P.007 Krian,2,VJF09,Haji Sulaiman Bin Haji Ahmad,Sulaiman bin Ahmad,M,Malay,30,PERIKATAN,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,8235,40.69681245366938,2,lost
1955-07-25,GE-00,Perak,P.007 Krian,3,Z052J,Mohamed Jan Bin Ngah Mohamed,Jan bin Ngah Mohamed,M,Malay,55,NAP,007-NAP,NAP,000-ALONE,ALONE,3315,16.38250555967383,3,lost
1955-07-25,GE-00,Perak,P.008 Batang Padang,1,2DV4V,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,Abdul Hamid Khan bin Sakhawat Ali Khan,M,Malay,55,PERIKATAN,001-UMNO,UMNO,001-PERIKATAN,PERIKATAN,9170,82.21265913573606,1,won
